revenue_date,revenue,dw_cid,pred_date
2020-09-23,31742.54855071402,17048,2020-02-14
2020-09-24,31742.54855071402,17048,2020-02-14
2020-09-25,31742.54855071402,17048,2020-02-14
2020-09-26,31742.54855071402,17048,2020-02-14
2020-09-27,31742.54855071402,17048,2020-02-14
2020-09-28,31742.54855071402,17048,2020-02-14
2020-09-29,31742.54855071402,17048,2020-02-14
2020-09-30,31742.54855071402,17048,2020-02-14
2020-10-01,34340.21319421903,17048,2020-02-14
2020-10-02,34340.21319421903,17048,2020-02-14
2020-10-03,34340.21319421903,17048,2020-02-14
2020-10-04,34340.21319421903,17048,2020-02-14
2020-10-05,34340.21319421903,17048,2020-02-14
2020-10-06,34340.21319421903,17048,2020-02-14
2020-10-07,34340.21319421903,17048,2020-02-14
2020-10-08,34340.21319421903,17048,2020-02-14
2020-10-09,34340.21319421903,17048,2020-02-14
2020-10-10,34340.21319421903,17048,2020-02-14
2020-10-11,34340.21319421903,17048,2020-02-14
2020-10-12,34340.21319421903,17048,2020-02-14
2020-10-13,34340.21319421903,17048,2020-02-14
2020-10-14,34340.21319421903,17048,2020-02-14
2020-10-15,34340.21319421903,17048,2020-02-14
2020-10-16,34340.21319421903,17048,2020-02-14
2020-10-17,34340.21319421903,17048,2020-02-14
2020-10-18,34340.21319421903,17048,2020-02-14
2020-10-19,34340.21319421903,17048,2020-02-14
2020-10-20,34340.21319421903,17048,2020-02-14
2020-10-21,34340.21319421903,17048,2020-02-14
2020-10-22,34340.21319421903,17048,2020-02-14
2020-10-23,34340.21319421903,17048,2020-02-14
2020-10-24,34340.21319421903,17048,2020-02-14
2020-10-25,34340.21319421903,17048,2020-02-14
2020-10-26,34340.21319421903,17048,2020-02-14
2020-10-27,34340.21319421903,17048,2020-02-14
2020-10-28,34340.21319421903,17048,2020-02-14
2020-10-29,34340.21319421903,17048,2020-02-14
2020-10-30,34340.21319421903,17048,2020-02-14
2020-10-31,34340.21319421903,17048,2020-02-14
2020-11-01,30851.155042638005,17048,2020-02-14
2020-11-02,30851.155042638005,17048,2020-02-14
2020-11-03,30851.155042638005,17048,2020-02-14
2020-11-04,30851.155042638005,17048,2020-02-14
2020-11-05,30851.155042638005,17048,2020-02-14
2020-11-06,30851.155042638005,17048,2020-02-14
2020-11-07,30851.155042638005,17048,2020-02-14
2020-11-08,30851.155042638005,17048,2020-02-14
2020-11-09,30851.155042638005,17048,2020-02-14
2020-11-10,30851.155042638005,17048,2020-02-14
2020-11-11,30851.155042638005,17048,2020-02-14
2020-11-12,30851.155042638005,17048,2020-02-14
2020-11-13,30851.155042638005,17048,2020-02-14
2020-11-14,30851.155042638005,17048,2020-02-14
2020-11-15,30851.155042638005,17048,2020-02-14
2020-11-16,30851.155042638005,17048,2020-02-14
2020-11-17,30851.155042638005,17048,2020-02-14
2020-11-18,30851.155042638005,17048,2020-02-14
2020-11-19,30851.155042638005,17048,2020-02-14
2020-11-20,30851.155042638005,17048,2020-02-14
2020-11-21,30851.155042638005,17048,2020-02-14
2020-11-22,30851.155042638005,17048,2020-02-14
2020-11-23,30851.155042638005,17048,2020-02-14
2020-11-24,30851.155042638005,17048,2020-02-14
2020-11-25,30851.155042638005,17048,2020-02-14
2020-11-26,30851.155042638005,17048,2020-02-14
2020-11-27,30851.155042638005,17048,2020-02-14
2020-11-28,30851.155042638005,17048,2020-02-14
2020-11-29,30851.155042638005,17048,2020-02-14
2020-11-30,30851.155042638005,17048,2020-02-14
2020-12-01,29893.283368198754,17048,2020-02-14
2020-12-02,29893.283368198754,17048,2020-02-14
2020-12-03,29893.283368198754,17048,2020-02-14
2020-12-04,29893.283368198754,17048,2020-02-14
2020-12-05,29893.283368198754,17048,2020-02-14
2020-12-06,29893.283368198754,17048,2020-02-14
2020-12-07,29893.283368198754,17048,2020-02-14
2020-12-08,29893.283368198754,17048,2020-02-14
2020-12-09,29893.283368198754,17048,2020-02-14
2020-12-10,29893.283368198754,17048,2020-02-14
2020-12-11,29893.283368198754,17048,2020-02-14
2020-12-12,29893.283368198754,17048,2020-02-14
2020-12-13,29893.283368198754,17048,2020-02-14
2020-12-14,29893.283368198754,17048,2020-02-14
2020-12-15,29893.283368198754,17048,2020-02-14
2020-12-16,29893.283368198754,17048,2020-02-14
2020-12-17,29893.283368198754,17048,2020-02-14
2020-12-18,29893.283368198754,17048,2020-02-14
2020-12-19,29893.283368198754,17048,2020-02-14
2020-12-20,29893.283368198754,17048,2020-02-14
2020-12-21,29893.283368198754,17048,2020-02-14
2020-12-22,29893.283368198754,17048,2020-02-14
